media,user_name,mention_name,day,like_comment,comment,cont_of_reply,reply_comment_name,username_reply,comment_en,Polarity,Analysis,emotion
infoserang,agung_cahyana28,,1 hari,10,Kalau sama sama suka dan mau bukan termasuk pemerkosaan kan,68,,,"If you like it and want to be rape, right?",0.285714286,Positive,anger
infopandeglang,tanwiruljojo,@alealwiii,2 hari,110,"Yuk yg mau silaturahmi ke instagramnya bocah ingusan baru lahir kemaren, bapaknya udh meninggal masih aja sok hebat",46,,,"Come on, who wants to make a friendly friendship to Instagram, a new runny nose yesterday was born yesterday, his father had died, still pretentious",0.102840909,Positive,disgust
infopandeglang,heyrosid,,1 hari,88,"ada pembelaan dari keluarga alwi yg saya baca di twett, katanya vidio itu di buat suka sama suka..nah andai itu bener dan yg menjadi pertanyaan apakah boleh melakukan revenge porn dan mengancam untuk menyebarkan bahkan melakukan penganiayaan??",37,,,"There is a defense from the Alwi family that I read on twett, he said the video was made like it and like it ... well if it was true and the question was whether to do a porn revenge and threatened to spread and even do the persecution ??",0.35,Positive,fear
infopandeglang,jujun_feb,,2 hari,52,Dari bahasanya keknya gua tau org mana ini si pelaku,37,,,"From the language, I know which person is the perpetrator",0.0,Neutral,negative
infoserang,dimaspashaofficial,,1 hari,136,yang berani spill anaknya siapa? saya doakan masuk surga,35,,,Who dares to spill his son? I pray for heaven,0.0,Neutral,sadness
infopandeglang,tanwiruljojo,,2 hari,314,"Yg katanya pandeglang kota santri seribu ulama kalo SDM nya begini rusak, pentingnya pendidikan orang tua maupun sekolah biar anak lahir ga jadi beban negara, bisanya ngerusak hidup orang",31,,,"Which is said to be a Pandeglang City of Santri Thousand Ulama If the human resources are damaged, the importance of parental and school education so that children are born not a burden on the country, usually damage people's lives",-0.125,Negative,anticipation
infopandeglang,siscafrahmawati,,1 hari,5,Pengen tau akun pelakunya,29,,,Want to know the culprit account,0.0,Neutral,joy
infoserang,myusuf.insta,,1 hari,36,Yuk kita gaskeun tekan balik pelaku... Biar tau rasanya dapat sambutan hangat dari netizen seluruh Indonesia.,24,,,Let's get Gaskeun pressing the perpetrators ... so that you know it feels a warm welcome from netizens throughout Indonesia.,0.7,Positive,positive
infopandeglang,ammarwildan,,1 hari,40,Klo 6 tahun bgi saya kurang apa yg di alami oleh korban slma ini 😭,21,,,If 6 years I have not been lacking what is experienced by this SLMA victim 😭,0.3625,Positive,trust
infopandeglang,latief_intan,,2 hari,20,"Nama pelaku nya siapa? dan dia anak siapa? gemes saya sbg ibu mau tau data pelaku se lengkap2nya, yang tau tolong bantu jawab ya🙏",21,,,"What's the name of the perpetrator? And whose child is he? I was annoying as a mother want to know the data of the perpetrators as complete as possible, who know please help answer ya itself",-0.233333333,Negative,joy
infopandeglang,aziz.khakim,,2 hari,275,"wargi pandeglang disarankan baca thread lengkapnya, ada di caption linknya, atau di story saya juga ada yang tinggal klik",18,,,"Wargi Pandeglang is advised to read the full thread, there is in the caption link, or in my story there is also someone who just clicks",0.35,Positive,positive
infoserang,aim.escobargaviria,,1 hari,170,"Lagi dan lagi pandeglang, KOTA LEUTIK SAJUTA PIOMONGEUN 🤸🤸🤸",18,,,"Again and again Pandeglang, the city of Leutik Sajuta Piomongeun 🤸🤸🤸",0.0,Neutral,trust
