media,user_name,mention_name,day,like_comment,comment,cont_of_reply,reply_comment_name,username_reply
infoserang,agung_cahyana28,,1 hari,10,Kalau sama sama suka dan mau bukan termasuk pemerkosaan kan,68,,
infopandeglang,tanwiruljojo,@alealwiii,2 hari,110,"Yuk yg mau silaturahmi ke instagramnya  bocah ingusan baru lahir kemaren, bapaknya udh meninggal masih aja sok hebat",46,,
infopandeglang,heyrosid,,1 hari,88,"ada pembelaan dari keluarga alwi yg saya baca di twett, katanya vidio itu di buat suka sama suka..nah andai itu bener dan yg menjadi pertanyaan apakah boleh melakukan revenge porn dan mengancam untuk menyebarkan bahkan melakukan penganiayaan??",37,,
infopandeglang,jujun_feb,,2 hari,52,Dari bahasanya keknya gua tau org mana ini si pelaku,37,,
infoserang,dimaspashaofficial,,1 hari,136,yang berani spill anaknya siapa? saya doakan masuk surga,35,,
infopandeglang,tanwiruljojo,,2 hari,314,"Yg katanya pandeglang kota santri seribu ulama kalo SDM nya begini rusak, pentingnya pendidikan orang tua maupun sekolah biar anak lahir ga jadi beban negara, bisanya ngerusak hidup orang",31,,
infopandeglang,siscafrahmawati,,1 hari,5,Pengen tau akun pelakunya,29,,
infoserang,myusuf.insta,,1 hari,36,Yuk kita gaskeun tekan balik pelaku... Biar tau rasanya dapat sambutan hangat dari netizen seluruh Indonesia.,24,,
infopandeglang,ammarwildan,,1 hari,40,Klo 6 tahun bgi saya kurang apa yg di alami oleh korban slma ini 😭,21,,
infopandeglang,latief_intan,,2 hari,20,"Nama pelaku nya siapa? dan dia anak siapa? gemes saya sbg  ibu mau tau  data pelaku se lengkap2nya, yang tau tolong bantu jawab ya🙏",21,,
infopandeglang,aziz.khakim,,2 hari,275,"wargi pandeglang disarankan baca thread lengkapnya, ada di caption linknya, atau di story saya juga ada yang tinggal klik",18,,
infoserang,aim.escobargaviria,,1 hari,170,"Lagi dan lagi pandeglang, KOTA LEUTIK SAJUTA PIOMONGEUN 🤸🤸🤸",18,,
infopandeglang,dony_ferdianto,@kejaripandeglang,2 hari,160,"TOLONG KLARIFIKASI MENGENAI OKNUM JAKSA Nanindya Nataningrum, SH YANG MENURUT THREAD TWITTER BERKALI KALI MENGGIRING KORBAN BUAT MEMAAFKAN PELAKU DAN MENGIKHLASKAN PELECEHAN SEKSUAL YANG DI ALAMINYA. SE BOBROK ITU KAH HUKUM DI PANDEGLANG?",17,,
infoserang,iamfaxx,,1 hari,84,Tegakan KEADILAN !!!! MANA KEADILAN SOSIAL BAGI SELURUH RAKYAT INDONESIA???,14,,
infopandeglang,tegarpnca46,@irnadimyati,2 hari,5,h,14,,
