comment_en,Polarity,Analysis
"If you like it and want to be rape, right?",0.2857142857142857,Positive
"Come on, who wants to make a friendly friendship to Instagram, a new runny nose yesterday was born yesterday, his father had died, still pretentious",0.10284090909090908,Positive
"There is a defense from the Alwi family that I read on twett, he said the video was made like it and like it ... well if it was true and the question was whether to do a porn revenge and threatened to spread and even do the persecution ??",0.35,Positive
"From the language, I know which person is the perpetrator",0.0,Neutral
Who dares to spill his son? I pray for heaven,0.0,Neutral
"Which is said to be a Pandeglang City of Santri Thousand Ulama If the human resources are damaged, the importance of parental and school education so that children are born not a burden on the country, usually damage people's lives",-0.125,Negative
Want to know the culprit account,0.0,Neutral
Let's get Gaskeun pressing the perpetrators ... so that you know it feels a warm welcome from netizens throughout Indonesia.,0.7,Positive
If 6 years I have not been lacking what is experienced by this SLMA victim 😭,0.36250000000000004,Positive
"What's the name of the perpetrator? And whose child is he? I was annoying as a mother want to know the data of the perpetrators as complete as possible, who know please help answer ya itself",-0.23333333333333336,Negative
"Wargi Pandeglang is advised to read the full thread, there is in the caption link, or in my story there is also someone who just clicks",0.35,Positive
"Again and again Pandeglang, the city of Leutik Sajuta Piomongeun 🤸🤸🤸",0.0,Neutral
"Please clarify the person of the prosecutor Nanindya Nataningrum, SH who according to the Twitter thread repeatedly led the victim to forgive the perpetrators and let the sexual harassment in their natural. Is that dilapidated by the law in Pandeglang?",0.17500000000000002,Positive
Standing for justice !!!! Where is the social justice for all Indonesian people ???,0.03333333333333333,Positive
h,0.0,Neutral
h,0.0,Neutral
Want to know who his son is the person until the first trial and the victim's family is not allowed to attend even the DPET intimidation.,0.0875,Positive
The culprit Alwi Husen Maolana D3 Accounting 2020 Untirta,0.0,Neutral
"Alwi Husen Maolana, Ngerakpeun.",0.0,Neutral
The victim was rejected at the trial because of the police? crazy crazy,-0.425,Negative
"Why is the case like this always underestimated? , just yesterday, members of the DPR were only 5 months of detainees. The current case is played. Where is Pandeglang City justice that can protect women and young people? Isn't there any? Because they have a lot of money and titles ????",0.03333333333333333,Positive
Check my story there is information from the perpetrators,0.0,Neutral
"Still Sliweran Ie Player Cenah Children of Officials, Cenah Nyahh. On Twitter, the cellphone number of Si Alwi Ale Bajingan was listed, when I was checked, Cnh Cnh, a civilian child, Aya nu checked at the Dikti Cenah Anak Accounting. Ramekeun on Twitter DAK, already in the RT is also the same as the Socmed Party, Yu Help assistance",0.0,Neutral
"Pandeglang Prosecutors have been bribed. It's hard to demand justice, there is the money that speaks. Maybe the case must be divided first so that everything is to uncover until ulcers the elements too.",-0.020833333333333343,Negative
"Fyi his father did not exist (died), former head of the Pandeglang Environment Agency.",0.0,Neutral
"Mental attack, attack physically 😢😢 Please Bang",-0.05,Negative
embarrassed in ajeeeeeeeeeee,0.0,Neutral
"Clarify, please",0.0,Neutral
Istigfar de yallah don't,0.0,Neutral
"Bring a photo of the laky to Baduy or to Saketi. Do you know, I mean?",-0.3125,Negative
Who want to stop by the Instagram of the cow to netizens time and place is invited,-0.13333333333333333,Negative
Info Gebugin Alwi,0.0,Neutral
"Try IG actor, Min, Min, want to be friendly",0.375,Positive
"Please, please give a warning, some must have been to the trigger",0.0,Neutral
Prosecutor Pandeglang Protector Rape 😂,0.0,Neutral
"Kejari Pandeglang is embarrassed 😢😢 who has already been unworthy of the extent of this time, this is a mom, let's go viral.",0.0,Neutral
"The law can go well if law enforcement officials (police, prosecutors, legal counsels, judges) can carry out their responsibilities well in law enforcement. Is this a prosecutor has no perspective of the victim? I am sure he understands very well about Victimology of victims not applied? Do not until the power to embezzle the course of justice. The victim is a woman, how easy the prosecutor is inciting forgiven? What if it happens to the family. Does he not know what kind of trauma will be felt by the victim? Please help the victim's rights to get protection, mental safety, victim's privacy.",0.13257575757575757,Positive
"Picking up, please help",0.0,Neutral
Must be up this mah .. be careful for men out there with endorphin hormones most effects of watching blue yellow blue films can be like this ... enough to be consumed not to be distributed huh..😂,0.06666666666666667,Positive
Gedeg kite mh ngebacane min ape maning lear the prosecutor's prosecutor instead of gathering ore gemem open not fast kayane ya fulus😂,-0.05,Negative
Try the spill of the old people who are the former officials,0.05,Positive
"Without reducing respect, please help the council help us the community to convey this case to the regent & the authorities. Hopefully this case can be handled as fairly as possible. Thank you.",0.0,Neutral
"If you still like it, Jan likes Jajawa, you don't dot",0.0,Neutral
Horrified very leee,0.2,Positive
h,0.0,Neutral
h,0.0,Neutral
"Gondrong: You have your money, you have power, but for me it's not Nyet",0.0,Neutral
Mamam tu 6 years,0.0,Neutral
Not dangerous ta,0.3,Positive
"Mun Ibu Te Sampe stated his attitude or responded to the case of this outrageous Sheasali. And to immediately clarify. Do not let people who have appreciated the performance of the mother so far, so it decreases",-0.23333333333333336,Negative
"Alwi, you need to know that social sanctions are more cruel than the decision of the trial in court.",-0.15555555555555556,Negative
"This invitation is the doc not the artist continues. your student? Mom, your citizens are not good, Dear. People's Wakit.",-0.35,Negative
Just spill the perpetrators of the culprit so that they are subject to social sanctions !!,-0.057291666666666664,Negative
Check,0.0,Neutral
"Min, the name of the IG CWO account, min.",0.0,Neutral
Reportedly the suspect did not attend the trial 🤔,0.0,Neutral
I know who this is,0.0,Neutral
"Continue to guard, ikauu 😢🙏",0.0,Neutral
"until you choose who you want to be with bro, our boxing is there even though it is not as a proper to the athletes, you want to king or",0.0,Neutral
"The act of Songong's actions becomes a mah lurr, KDU Ratasa 😂",0.0,Neutral
"This family has a ""power"" in the mountains, it will be immune and dare to intimidate. horrified..ngiii",0.0,Neutral
Feeling the son of officials also boga power Ieu slave,0.0,Neutral
Ni Anjir,0.0,Neutral
"The status of students behaving rich like people not school, want to take a bare",0.2125,Positive
😢😢,0.0,Neutral
"Kandaa Ale is still relaxing? 🤣 Ayoo, let me take you the form of your Kanda Ale🫰🏻",0.0,Neutral
"Justice will win, Mong!",1.0,Positive
h,0.0,Neutral
h,0.0,Neutral
"Dynasty OH Dynasty, the pins have been jailed / died even the power is still there ..",0.0,Neutral
"Hayoloh viral, anyways, sosoan mam sangu keneh ge guy ngancem ngancem sagala macem ka batur children >>",0.0,Neutral
"If it's true that you are the culprit, you are a human who does not respect your own mother as a woman",0.31666666666666665,Positive
"Trending is really a thread, he said the culprit is a student",0.2,Positive
"The law will not run if there is no tai eating allowance, the law enforcement 🖕🖕",0.0,Neutral
Udh new viral in Tangkep,0.13636363636363635,Positive
"Bang, don't be afraid to speak Sundanese Pandeglang",-0.6,Negative
"Want to comment, but afraid of the perpetrators.",-0.6,Negative
responsibility is minimal .. bio and very well -determined behavior,0.05,Positive
RUBBISH,0.0,Neutral
Pandeglang is again Pandeglang for a long time to get this award charter,-0.05,Negative
guy burden,0.0,Neutral
How dare you go.,0.0,Neutral
The IG is the Baji *** tire ** what can you do?,0.0,Neutral
"Please, bro",0.0,Neutral
Hih nyah,0.0,Neutral
"Wow, Alwi is ready to receive social sanctions from the venting of netizens in Banten in particular, congratulations for you 👏🏻",0.125,Positive
Aya PW reporter,0.0,Neutral
"Wow, my friend is a friend, how come we are like this",0.1,Positive
h,0.0,Neutral
"Lately, Pandeglang attacks again, which is a corrupt woman for skincare capital and the male ""has a lot of people who like night entertainment. Shame, may Allah mukannya with the perpetrators Amen",-0.26666666666666666,Negative
Humans who are supported by illegal money are more than demons.,0.0,Neutral
"I am waiting for clarification from the Chancellor, because there is a campus name there, the last slide .. Thank you dear netizens",0.0,Neutral
"he said the prosecutor's prosecutor was the defendant online, yes, still Pandemi",0.0,Neutral
"Awww so I was formed by Lalakina, because of Teu Payu Ka Awewe, I was not a girl, Ngaca or fried fried, fried in pamake, new Komo, fried, fried, the mah was a suicide, he was we dabew dabeweh using the time strange kana court anu teu narima laporana",0.16212121212121214,Positive
Actors of Children's Officials Min ..,0.0,Neutral
Official son😮,0.0,Neutral
". I can't imagine if the victim is my sister ... I was determined to samperin to his house, bring a machete or a sabi meat knife. I just want his hands or legs to display in the room. The same peler for my necklace hanger",-0.037500000000000006,Negative
