user_name,comment
agung_cahyana28,Kalau sama sama suka dan mau bukan termasuk pemerkosaan kan
tanwiruljojo,"Yuk yg mau silaturahmi ke instagramnya  bocah ingusan baru lahir kemaren, bapaknya udh meninggal masih aja sok hebat"
heyrosid,"ada pembelaan dari keluarga alwi yg saya baca di twett, katanya vidio itu di buat suka sama suka..nah andai itu bener dan yg menjadi pertanyaan apakah boleh melakukan revenge porn dan mengancam untuk menyebarkan bahkan melakukan penganiayaan??"
jujun_feb,Dari bahasanya keknya gua tau org mana ini si pelaku
dimaspashaofficial,yang berani spill anaknya siapa? saya doakan masuk surga
tanwiruljojo,"Yg katanya pandeglang kota santri seribu ulama kalo SDM nya begini rusak, pentingnya pendidikan orang tua maupun sekolah biar anak lahir ga jadi beban negara, bisanya ngerusak hidup orang"
siscafrahmawati,Pengen tau akun pelakunya
myusuf.insta,Yuk kita gaskeun tekan balik pelaku... Biar tau rasanya dapat sambutan hangat dari netizen seluruh Indonesia.
ammarwildan,Klo 6 tahun bgi saya kurang apa yg di alami oleh korban slma ini ??
latief_intan,"Nama pelaku nya siapa? dan dia anak siapa? gemes saya sbg  ibu mau tau  data pelaku se lengkap2nya, yang tau tolong bantu jawab ya??"
aziz.khakim,"wargi pandeglang disarankan baca thread lengkapnya, ada di caption linknya, atau di story saya juga ada yang tinggal klik"
aim.escobargaviria,"Lagi dan lagi pandeglang, KOTA LEUTIK SAJUTA PIOMONGEUN ??????"
dony_ferdianto,"TOLONG KLARIFIKASI MENGENAI OKNUM JAKSA Nanindya Nataningrum, SH YANG MENURUT THREAD TWITTER BERKALI KALI MENGGIRING KORBAN BUAT MEMAAFKAN PELAKU DAN MENGIKHLASKAN PELECEHAN SEKSUAL YANG DI ALAMINYA. SE BOBROK ITU KAH HUKUM DI PANDEGLANG?"
iamfaxx,Tegakan KEADILAN !!!! MANA KEADILAN SOSIAL BAGI SELURUH RAKYAT INDONESIA???
fitri.handayani05_,Pengen tau anaknya siapa sih ni orang sampe sidang pertama dan kluarga korban pada enggak boleh hadir bahkan dpet intimidasi.
lisnaryu,Pelakunya Alwi Husen Maolana D3 Akuntansi 2020 Untirta
fseptiansputra,"Alwi husen maolana, ngerakeun."
putrimey21_,Korban Di tolak di persidangan gara2 sodara nya polisi kah?  gila gila nya
apriliantideva,"Kenapa soal kasus kaya gini selalu di remehkan? , yg kemaren aja anggota dpr cuma 5 bulan tahanan. Kasus yang sekarang dimainkan. Mana keadilan kota pandeglang yg bisa melindungan perempuan dan anak muda? Tidak adakah? Karna mereka memiliki banyak uang dan titel????"
abdurrahman_ghofiqi,Cek story saya ada info pelaku
d.daeseaa,"masih sliweran ie pelakuna cenah anak pejabat, CENAH NYAHH. di twitter tercantum nomor hp si alwi ale bajingan, pas di cek getcont na cnh mah anak sipil, aya nu ngecek di dikti cenah anak akuntansi. ramekeun di twitter dak, udah di RT juga sama partai socmed, bantuan yu bantuan"
fandiadc,"Oknum jaksa pandeglang udah disogok. Susah buat nuntut keadilan, disitu duit yang berbicara. Mungkin kasusnya harus diviralin dulu biar kebongkar semuanya sampai borok oknum2nya juga."
mfdzfrds24_,"fyi bapaknya pelaku udh ngga ada (meninggal), mantan pejabat kepala dinas Lingkungan hidup pandeglang."
yama_nurrahmat21,"Nyerang mental, nyerang fisik ???? tolong bang"
mira.dnaa,malu malu in ajeeee nihhhh
anangma.ruf_,tolong klarifikasi
riobagussatrio,istigfar de yallah jangan gtu ah
vinsideee,Bawa foto lakinya ke baduy atau ke saketi. Do you know kan maksud gue ?
tanwiruljojo,Yg mau mampir ke instagram cowonya  kepada netizen waktu dan tempat di persilahkan
ultramilknotultramen,Info gebugin alwi
rey_adii,Cobaa ig pelaku mana min mau silahturahmi
