comment,coment_en
kalau sama sama suka dan mau bukan termasuk pemerkosaan kan,"If you like it and want to be rape, right?"
yuk yg mau silaturahmi ke instagramnya bocah ingusan baru lahir kemaren bapaknya udh meninggal masih aja sok hebat,"Come on, who wants to make a friendly friendship to Instagram, a new runny nose yesterday was born yesterday, his father died still pretentious"
ada pembelaan dari keluarga alwi yg saya baca di twett katanya vidio itu di buat suka sama sukanah andai itu bener dan yg menjadi pertanyaan apakah boleh melakukan revenge porn dan mengancam untuk menyebarkan bahkan melakukan penganiayaan,"There is a defense from the Alwi family that I read on twett, he said the video was made to like the same as if it was true and the question was whether to do revenge porn and threatened to spread and even do the persecution"
dari bahasanya keknya gua tau org mana ini si pelaku,"From the language, I know which person is the perpetrator"
yang berani spill anaknya siapa saya doakan masuk surga,who dares to spill his son who I pray for heaven
yg katanya pandeglang kota santri seribu ulama kalo sdm nya begini rusak pentingnya pendidikan orang tua maupun sekolah biar anak lahir ga jadi beban negara bisanya ngerusak hidup orang,which is said to be a Pandeglang City of Santri Thousand Ulama if the human resources are damaged the importance of parents and school education so that children are born not a burden on the country usually damage people's lives
pengen tau akun pelakunya,want to know the culprit account
yuk kita gaskeun tekan balik pelaku biar tau rasanya dapat sambutan hangat dari netizen seluruh indonesia,Let's get Gaskeun pressing the perpetrators to know it feels like we can get a warm welcome from netizens throughout Indonesia
klo tahun bgi saya kurang apa yg di alami oleh korban slma ini,If I have not been lacking about what is experienced by this SLMA victim
nama pelaku nya siapa dan dia anak siapa gemes saya sbg ibu mau tau data pelaku se lengkapnya yang tau tolong bantu jawab ya,the name of the perpetrator who is and he is the child who is gemes I as a mother want to know the data of the perpetrators who know the complete please help answer
wargi pandeglang disarankan baca thread lengkapnya ada di caption linknya atau di story saya juga ada yang tinggal klik,Wargi Pandeglang is advised to read the full thread in the caption link or in my story there is also someone who just clicks
lagi dan lagi pandeglang kota leutik sajuta piomongeun,again and again Pandeglang City of Leutik Sajuta Piomongeun
tolong klarifikasi mengenai oknum jaksa nanindya nataningrum sh yang menurut thread twitter berkali kali menggiring korban buat memaafkan pelaku dan mengikhlaskan pelecehan seksual yang di alaminya se bobrok itu kah hukum di pandeglang,Please clarify the person of the prosecutor Nanindya Nataningrum SH who according to the Twitter thread repeatedly led the victim to forgive the perpetrators and let the sexual harassment that was naturally dilapidated by the law in Pandeglang
tegakan keadilan mana keadilan sosial bagi seluruh rakyat indonesia,stands of justice which social justice for all Indonesian people
pengen tau anaknya siapa sih ni orang sampe sidang pertama dan kluarga korban pada enggak boleh hadir bahkan dpet intimidasi,Want to know who his son is the person until the first trial and the victim's family is not allowed to attend even the intimidation
pelakunya alwi husen maolana d akuntansi untirta,the culprit Alwi Husen Maolana D Accounting Untirta
alwi husen maolana ngerakeun,Alwi Husen Maolana Ngerakpeun
korban di tolak di persidangan gara sodara nya polisi kah gila gila nya,The victim was rejected at the trial because the police were crazy about the crazy police
kenapa soal kasus kaya gini selalu di remehkan yg kemaren aja anggota dpr cuma bulan tahanan kasus yang sekarang dimainkan mana keadilan kota pandeglang yg bisa melindungan perempuan dan anak muda tidak adakah karna mereka memiliki banyak uang dan titel,"Why is the case of this rich case, it is always underestimated that the DPR members are only a month of prisoners of the case that are now played where the justice of the city of Pandeglang can protect women and young people because they have a lot of money and titles"
cek story saya ada info pelaku,Check my story there is information from the perpetrators
masih sliweran ie pelakuna cenah anak pejabat cenah nyahh di twitter tercantum nomor hp si alwi ale bajingan pas di cek getcont na cnh mah anak sipil aya nu ngecek di dikti cenah anak akuntansi ramekeun di twitter dak udah di rt juga sama partai socmed bantuan yu bantuan,Still Sliweran Ie Delakuna Cenah Children of Cenah Nyahh officials on Twitter listed the cellphone number of Si Alwi Ale Bajingan Pas in the Cekont Na Cnh Mah Civil Aya Nu Nu Check at Dikti Cenah Kids Accounting Ramekeun on Twitter already in the RT and the Socmed Assistance Party Yu Help
oknum jaksa pandeglang udah disogok susah buat nuntut keadilan disitu duit yang berbicara mungkin kasusnya harus diviralin dulu biar kebongkar semuanya sampai borok oknumnya juga,"The prosecutor Pandeglang was already bribed, it was difficult to sue justice where the money that spoke might be the case must be divided first so that everything"
fyi bapaknya pelaku udh ngga ada meninggal mantan pejabat kepala dinas lingkungan hidup pandeglang,Fyi his father did not have died former Head of the Pandeglang Environmental Service Office
nyerang mental nyerang fisik tolong bang,"attack mentally attack physically please, sir"
malu malu in ajeeee nihhhh,embarrassed in ajeeeeeeeeeee
tolong klarifikasi,"Clarify, please"
istigfar de yallah jangan gtu ah,Istigfar de yallah don't
bawa foto lakinya ke baduy atau ke saketi do you know kan maksud gue,"Bring a photo of the man to Baduy or to Saketi do you know, I mean"
yg mau mampir ke instagram cowonya kepada netizen waktu dan tempat di persilahkan,who want to stop by the Instagram of the cow to netizens time and place is invited
info gebugin alwi,Info Gebugin Alwi
cobaa ig pelaku mana min mau silahturahmi,"Try IG actor, Min, Min, want to be friendly"
tolong min kasih warning beberapa pasti ada yg ke trigger,"Please, please give a few warnings, there must be a trigger"
jaksa pandeglang pelindung pemerkosaan,Prosecutor Pandeglang Protector Rape
kejari pandeglang malu maluin yang udh aja udh gaada wibawa nya samasekali ya ibu kejari ini yuk viralkan aja lah terlanjur yang udh aja udah banyak banget kasus pemerkosaan di pandeglang ihh sebellll,"Kejari Pandeglang is embarrassed, the shame that has already been not the authority of this time, yeah, this is just a viral, it's already a lot of rape cases in Pandeglang, IHH"
hukum bisa berjalan dengan baik jika aparat penegak hukum kepolisian jaksa penasihat hukum hakim bisa melaksanakan tanggunjawabnya dengan baik dalam penegakan hukum ini ko jaksanya tidak punya perspektif korban saya yakin beliau paham betul soal victimologi korban ko tidak diterapkan jangan sampe kekuasaan menggelapkan jalannya keadilan korban adalah seorang perempuan ko gampang jaksanya menghasut suruh memaafkan bagaimana jika itu terjadi kekeluarganya apa beliau tidak tahu trauma berkepanjngan seperti apa yng nantinya akan dirasakan korban tolong dibantu hakhak korban mendapatkan perlindungan keselamatan mental privasi korban,"The law can go well if the law enforcers of the police prosecutor's legal advisor can carry out their responsibilities well in this law enforcement, how come the victim does not have the perspective of the victim, I am sure that he understands the victim's Victimology not to be applied not to the power how easy the prosecutor is incitement to forgive what if it happens what family happens, what does he not know what the trauma is and what will be felt by the victims, please help the victim's rights to get the mental safety protection of the victim's privacy"
colek bang mohon di bantu,"Picking up, please help"
harus di up ini mah hati buat para pria di luar sana dengan hormon endorfin kebanyakan efek nonton film biru kuning ijo bisa gini cukup di konsumsi tidak untuk di sebarkan ya,Must be up to this heart for men out there with endorphin hormones mostly the effect of watching blue yellow blue movies can be enough to consume not to be distributed huh
gedeg kite mh ngebacane min ape maning jereh kejaksaane malah nyeleweng ore gelem open kurang kenceng kayane ya fuluse,Gedeg kite mh ngebacane min ape maning lear the prosecutor's prosecutor instead of being missed ore gemem open not fast kayane
coba spill org tua pelaku yg ktanya eks pejabat,Try the spill of the old people who are the former officials
tanpa mengurangi rasa hormat tolong pak dewan bantu kami masyarakat utk menyampaikan kasus ini pada ibu bupati pihak yg berwajib semoga kasus ini bisa ditangani seadiladilnya haturnuhun,"without reducing respect, please help us, the council, the community to convey this case to the regent of the authorities, hopefully this case can be handled as fairly as he"
kalo masih suka seblak jan suka jajawaraan ya ga dot,"If you still like it, Jan likes Jajawa, you don't dot"
ngeriii amat leee,horrified very leee
gondrong lu punya duit lu punya kuasa tapi buat gue ngga nyet,Longly you have money you have the power but for me it's not nyet
mamam tu taun,mamam tuun
ga bahaya ta,Not dangerous ta
mun ibu te sampe menyatakan sikap atau merespon soal kasus inimah keterlaluan syekali dan untuk segera klarifikasi jangan sampai masyarakat yg sudah mengapresiasi kinerja ibu selama ini dengan baik jadi menurun,Mun Ibu Te until stated the attitude or responded to the case of this case was outrageous and to immediately clarify the people who had appreciated the performance of the mother so far so it was well declined
alwi perlu kamu ketahui bahwa sanksi sosial lebih kejam dari putusan sidang dipengadilan,Alwi you need to know that social sanctions are more cruel than the decision of the trial in court
undang ini kali dok jgn artis terus mahasiswa anda bu warga anda sedang tidak baikÂ² kepada yth wakit rakyat,"This invitation is the doc, don't keep your artists, your students, your citizens, are not good at the people"
spill aja foto pelakunya sekalian biar kena sanksi sosial,spill just photos of the culprit as well so that they are subject to social sanctions
cekidot,Check
min nama akun ig cwo nya nih min anak untirta teknik sipil,"Min, the name of the IG CWO account"
kabarnya tersangka tidak hadir dalam persidangan,Reportedly the suspect was not present at the trial
gua tau si ini siapa,I know who this is
kawal terus ya ibuuu,"keep on guard, okuu"
sampein ke pilih mau sama siapa bro sasana tinju kita ada meskipun ga se proper tmpat para atlit mau ama king atau,"until you choose who you want to do with our boxing brook, even though it is not as proper as the athletes want to king or"
mngknna ulah songong jadi jelema mah lurr kdu rumasa,the act of Songong became a mah lurr detailed
keluarga ini punya power dipandeglang mankanya kebal dan berani intimidasi ngeriingerii,This family has power in the mandated manner and dare to be intimidated
ngerasa anak pejabat jg boga power ieu budak,Feeling the son of officials also boga power Ieu slave
ni anjir,Ni Anjir
status mahasiswa kelakuan kaya orang gak sekolah pengen jambak sampe gundul,the status of students to behave like people not to go to school want to take a bare
kandaa ale ko masi santai aja ayoo kluarkan lah wujud mu kanda ale ale,"Kandaa Ale Ko still relax, let's take out your form of Kanda Ale Ale"
keadilan bakalan menang mong,Justice Will Win Mong
dinasti oh dinasti pentolannya dah dipenjara meninggal pun kuasanya masih ada,"The OH Dynasty of the Pentolan Dynasty has been jailed to die, the power is still there"
hayoloh viral lagian sosoan mam sangu keneh ge ngancem ngancem sagala macem ka anak batur,Hayoloh Viral anyways Sosoan Mam Sangu Keneh Genem Ngancem Ngancem Sagala Macem Ka Batur Children
jika benar memang anda adalah pelakunya anda adalah manusia yg tidak menghargai ibu anda sendiri sebagai wanita,If it is true that you are the culprit you are a human who does not respect your own mother as a woman
trending bgt tu thread katanya sih pelakunya mahasiswa,"Trending is really a thread, he said, the culprit is a student"
hukum tidak akan berjalan kalo ngga ada uang makan tai emang penegak hukum nya,"the law will not run if there is no tai food, it is a law enforcement"
udh viral baru di tangkep,Udh new viral in Tangkep
bang jangan takut untuk berbicara bahasa sunda pandeglang,"Bang, don't be afraid to speak Sundanese Pandeglang"
mau komen tapi takut di sangka pelaku,want to comment but are afraid of the perpetrators
tanggung jawab lah minimal bio sama kelakuan jomplang banget,responsibility is the minimum bio and very good behavior
sampah,rubbish
pandeglang lagi pandeglang lagi lamaa lama dapet piagam penghaargaan ini mah,Pandeglang is again Pandeglang for a long time to get this award charter
cowo beban,guy burden
